"","Observed","Simpson"
"X5grass",136,0.83995584
"X6grass",162,0.90087348
"X7grass",138,0.86820438
"X8grass",173,0.89881702
"X9grass",121,0.80184504
"X10grass",97,0.8721677
"X11grass",181,0.88639906
"X12grass",123,0.88787292
"X13grass",130,0.91191656
"X14grass",171,0.84538262
"X15grass",111,0.58026182
"X17grass",90,0.70202514
"X18grass",125,0.87614794
"X19grass",174,0.94865108
"X20grass",144,0.60498514
"X21grass",113,0.5536128
"X22grass",145,0.87258166
"X23grass",181,0.86900432
"X24grass",147,0.89450754
"X25grass",200,0.94130542
"X26grass",278,0.89197592
"X27grass",166,0.87616758
"X28grass",203,0.91841492
"X29grass",161,0.90924214
"X30grass",166,0.9165219
"X31grass",120,0.91469544
"X32grass",155,0.95026056
"X33grass",165,0.81932706
"X34grass",128,0.930608
"X35grass",168,0.93061368
"X36grass",194,0.91243736
"X37grass",150,0.9230644
"X38grass",173,0.9495806
"X39grass",173,0.9396818
"X40grass",176,0.91892828
"X41grass",158,0.82660806
"X42grass",127,0.92976116
"X43grass",122,0.90531742
"X44grass",150,0.92183242
"X45grass",111,0.91137422
"X46grass",106,0.8081733
"X47grass",142,0.80674184
"X48grass",206,0.94517744
"X49grass",163,0.8549276
"X50grass",175,0.8415958
"X51grass",84,0.89426226
"X52grass",107,0.95190798
"X53grass",143,0.59999382
"X54grass",150,0.53340426
"X55grass",141,0.52160648
"X56grass",153,0.66079526
"X57grass",118,0.51972192
"X58grass",89,0.19139046
"X59grass",121,0.20123956
"X60grass",286,0.89021146
"X61grass",144,0.50242736
"X62grass",180,0.54484938
"X63grass",178,0.87562896
"X64grass",120,0.31096186
"X65grass",206,0.92437046
"X66grass",175,0.89550946
"X67grass",142,0.7360648
"X68grass",183,0.94148796
"X69grass",179,0.86089014
"X70grass",136,0.84790678
"X71grass",156,0.84291976
"X72grass",153,0.62971772
"X73grass",148,0.8136699
"X74grass",138,0.721248
"X75grass",185,0.86716844
"X76grass",156,0.80968884
"X77grass",109,0.86809136
"X78grass",130,0.94469932
"X79grass",170,0.93241752
"X80grass",158,0.8120449
"X81grass",126,0.89589004
"X82grass",139,0.83408174
"X83grass",167,0.82984932
"X84grass",110,0.84419342
"X85grass",167,0.8894285
"X86grass",107,0.8991561
"X87grass",124,0.88551328
"X88grass",154,0.76082566
"X89grass",114,0.67733324
"X90grass",60,0.90877146
"X91grass",146,0.85556438
"X92grass",180,0.91894112
"X93grass",110,0.9076413
"X94grass",86,0.51754472
"X95grass",107,0.53757498
"X96grass",89,0.34428762
"X97grass",142,0.81168688
"X98grass",142,0.90615918
"X99grass",128,0.74711456
"X100grass",101,0.79771762
"X101grass",148,0.81488178
"X102grass",138,0.88329624
"X103grass",127,0.88653584
"X104grass",138,0.89100568
"X105grass",135,0.8746924
"X106grass",138,0.90665658
"X107grass",160,0.90552158
"X108grass",99,0.81032132
"X109grass",152,0.86942288
"X110grass",115,0.62007766
"X111grass",96,0.7079178
"X112grass",104,0.5292651
"X113grass",121,0.77981714
"X114grass",88,0.73872956
"X115grass",97,0.70109208
"X116grass",101,0.85088036
"X117grass",114,0.90754876
"X118grass",143,0.84614436
"X119grass",151,0.85054244
"X120grass",113,0.72280618
"X121grass",130,0.8769466
"X122grass",113,0.75613432
"X123grass",136,0.79904404
"X124grass",132,0.78897076
"X125grass",135,0.92561136
"X126grass",152,0.91413868
"X127grass",95,0.9301538
"X128grass",98,0.89946904
"X129grass",114,0.94171032
"X130grass",134,0.78930628
"X131grass",161,0.8015395
"X132grass",141,0.87036684
"X133grass",169,0.669876
"X134grass",192,0.94479106
"X135grass",173,0.91118164
"X136grass",140,0.92684912
"X137grass",176,0.66954992
"X138grass",119,0.71690082
"X139grass",168,0.81124952
"X140grass",128,0.84658078
"X141grass",168,0.93646422
"X142grass",151,0.9004789
"X143grass",175,0.86774988
"X144grass",199,0.94984192
"X145grass",190,0.91287346
"X146grass",134,0.82370182
"X147grass",110,0.48883472
"X148grass",180,0.90391794
"X149grass",132,0.89877688
"X150grass",204,0.90727336
"X151grass",144,0.64413974
"X152grass",154,0.94503854
"X153grass",142,0.92851626
"X154grass",158,0.92719156
"X155grass",172,0.90440264
"X156grass",157,0.8235559
"X157grass",162,0.84354438
"X158grass",108,0.88340608
"X159grass",146,0.72699614
