"","Observed","Simpson"
"X89grass",172,0.6788542375
"X91grass",182,0.8524079125
"X92grass",217,0.9178077675
"X93grass",144,0.9073674325
"X94grass",125,0.5269279525
"X96grass",143,0.35573345625
"X97grass",205,0.81104971875
"X98grass",193,0.9060994625
"X99grass",149,0.7467438425
"X100grass",138,0.79538116125
"X101grass",205,0.81255119
"X102grass",182,0.88191686125
"X103grass",152,0.89245696125
"X104grass",187,0.89235182625
"X105grass",170,0.8788297425
"X108grass",146,0.814055175
"X109grass",184,0.868214425
"X110grass",157,0.6175073275
"X111grass",131,0.70515967125
"X112grass",127,0.53369169125
"X113grass",170,0.78482410875
"X114grass",115,0.73516050875
"X115grass",131,0.698690305
"X116grass",140,0.8515324125
"X117grass",156,0.9083532925
"X118grass",181,0.84646411625
"X120grass",143,0.72539911875
"X121grass",169,0.87749043625
"X122grass",169,0.7499714075
"X123grass",187,0.79161462
"X124grass",152,0.77838067625
"X126grass",190,0.9134462675
"X128grass",127,0.9008137875
"X129grass",143,0.94042020125
"X132grass",174,0.87146716875
"X133grass",229,0.6675253425
"X134grass",238,0.9449638
"X135grass",227,0.910779195
"X136grass",170,0.92765343
"X137grass",224,0.665622705
"X138grass",166,0.71118585875
"X139grass",216,0.81173410875
"X140grass",156,0.844568275
"X141grass",217,0.93577870875
"X143grass",233,0.86664919375
"X144grass",229,0.9510995275
"X145grass",232,0.9126160275
"X146grass",165,0.825153205
"X147grass",152,0.4885867725
"X148grass",242,0.9053362875
"X149grass",171,0.89806407125
"X150grass",252,0.90774358625
"X151grass",196,0.64613249625
"X152grass",199,0.94554723375
"X155grass",221,0.90478880875
"X156grass",202,0.8221941725
"X157grass",203,0.848127135
"X158grass",137,0.88399425125
"X159grass",194,0.729384955
