"","89grass","90grass","91grass","92grass","93grass","94grass","95grass","96grass","97grass","98grass","99grass","100grass","101grass","102grass","103grass","104grass","105grass","106grass","107grass","108grass","109grass","110grass","111grass","112grass","113grass","114grass","115grass","116grass","117grass","118grass","119grass","120grass","121grass","122grass","123grass","124grass","125grass","126grass","127grass","128grass","129grass","130grass","131grass","132grass","133grass","134grass","135grass","136grass","137grass","138grass","139grass","140grass","141grass","142grass","143grass","144grass","145grass","146grass","147grass","148grass","149grass","150grass","151grass","152grass","153grass","154grass","155grass","156grass","157grass","158grass","159grass"
"OTU5:5grass",126,713,9018,11973,1777,2248,1704,1319,287,8456,6125,1028,2809,8442,8885,5720,17463,6239,4900,692,1112,1662,1476,2069,3641,2636,4714,1446,3780,5484,4142,7706,4615,3950,6023,1902,4245,3379,1207,1568,7,586,430,257,877,7876,11391,5372,35,5,454,5286,8548,151,5153,6766,3352,399,633,6044,203,3927,834,1087,3865,2986,702,1270,1955,1241,112
"OTU77:5grass",0,0,97,37,0,0,0,0,0,0,45,0,55,0,0,104,0,124,74,95,44,0,251,0,132,20,122,135,75,8,2,0,0,17,0,0,104,55,0,791,116,540,428,267,17,813,210,524,31,128,18,136,15,3,168,1042,95,12,33,0,121,50,41,50,23,45,78,1,31,0,1
"OTU59:5grass",0,1653,114,69,720,33,28,106,18,176,0,577,94,576,758,0,388,68,64,83,91,108,0,1,92,0,1,324,0,0,0,0,0,39,36,0,90,193,61,79,1,22,21,44,31,146,134,1,74,2,26,18,3,49,1,20,61,0,0,1,67,19,0,379,0,1,174,225,265,0,95
"OTU3145:81grass",0,0,14,32,0,0,1,0,8,10,0,5,1,5,0,2,46,0,1,3,2,2,0,0,0,0,0,36,5,25,25,1,19,6,37,7,3,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1306:80grass",65,0,25711,6,2,3587,2975,269,8021,795,11946,6546,0,45,0,4,2,0,1,0,1,3,2,4,0,0,4,3,15,0,0,0,1,0,2,1,0,0,2,3,0,1,0,0,0,2,1,0,0,0,1,0,1,0,0,1,1,0,2,0,0,1,0,3630,0,0,0,3,0,0,1
"OTU8:5grass",2326,2,175,686,477,1,1,5,62,63,2,1,804,814,1407,908,653,503,338,1177,106,149,1008,155,2319,654,724,1888,1027,4920,3779,1528,1147,233,1131,636,493,690,1,2,752,1453,1024,207,114,744,1114,559,214,2,220,812,405,201,311,233,761,313,93,10613,4275,15655,6598,3847,1301,986,10056,5655,3980,9451,4446
"OTU2755:110grass",14,0,0,5,0,28,22,84,25,4,8,15,13,9,0,13,4,10,5,0,5,18,10,2,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU6:5grass",374,0,3070,2462,1139,1,1,3,347,1013,476,84,1687,1400,2064,5784,1941,1320,956,6685,3627,793,3771,2042,15191,1348,6251,12048,6573,10408,7980,6343,5454,3473,9234,6114,2207,98,211,466,1606,273,242,406,752,2150,4018,526,176,595,501,2044,2957,171,972,1995,507,972,215,4315,10253,5391,2625,3132,887,695,5498,5504,4380,1947,2938
"OTU610:105grass",344,0,82,1,213,0,0,1,1,30,23,2,57,248,120,555,29,290,197,1,49,1,1,1,13,10,202,168,6231,2,3,149,65,12,25,3,38,86,243,2468,355,23,27,109,252,221,179,1,15,239,22,62,386,50,241,364,116,655,19,1615,617,2470,757,2022,421,332,935,1097,1953,344,715
"OTU1028:13grass",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU290:5grass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU240:5grass",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU1603:24grass",0,0,2,16,0,0,0,0,7,10,0,2,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,9,0,0,3,0,2,2,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"OTU818:5grass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU960:5grass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU303:5grass",0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU286:5grass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU18:5grass",2,0,1,0,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,2,1,1,0,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,2,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"OTU7:5grass",9,7,0,4,0,0,1,0,3,12668,4,8,30785,19,0,1777,1,2,4,82,21395,39025,40562,44129,9,26831,1,3,1,0,0,0,12,11,22,21,1,3,0,4,0,0,0,0,2,7,5,8,2,4,0,5,0,0,0,5,7,6,13,53,10,0,37831,0,0,5,1,3,12,6633,34856
"OTU25:5grass",231,414,292,22,115,0,0,1,23,132,30,75,793,595,2730,944,658,321,236,2965,104,168,1879,258,2450,267,219,1604,116,367,306,451,1441,372,1001,1333,176,22,1,0,180,32,22,182,62,76,52,0,68,629,293,104,576,133,53,592,161,317,17,678,113,520,289,998,112,64,135,1273,1160,834,811
"OTU12:5grass",2070,7740,1240,496,3666,107,94,1397,54,290,222,1478,760,2617,2472,816,3030,1705,1213,1933,745,679,1084,551,500,453,1490,1001,451,111,106,466,192,101,207,518,593,278,1234,491,1465,383,259,679,105,479,239,1347,460,337,194,373,402,287,298,519,372,732,116,538,671,232,253,1323,592,431,857,401,260,2359,885
"OTU107:5grass",162,321,17,21,264,14,12,108,1,65,2,35,154,134,93,22,26,7,6,13,2,16,81,5,18,6,100,62,39,0,0,0,0,16,15,63,184,35,169,35,107,50,43,3,27,56,64,107,44,56,19,38,80,25,100,59,43,81,8,106,142,47,46,0,35,23,303,85,120,43,109
"OTU37:5grass",0,319,193,0,0,0,0,0,7,147,18,2,168,1,227,51,46,153,99,194,0,1,34,36,18,33,297,28,0,24,23,0,21,5,2,2,163,75,571,162,460,56,48,160,138,285,137,206,414,736,436,759,578,325,451,128,707,771,184,591,338,289,230,0,315,239,93,454,241,1600,369
"OTU175:6grass",1,0,130,762,0,0,0,0,36,145,0,0,85,75,0,0,0,0,0,0,34,47,0,0,0,0,0,0,0,7,5,0,0,3,23,23,0,0,0,0,0,0,0,0,0,0,13,0,0,0,2,0,27,0,25,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"OTU60:5grass",7,0,961,3674,1632,0,0,0,361,1535,0,413,85,409,1119,1648,1222,354,306,637,265,371,932,0,0,18,130,1,21,6,15,30,169,1,38,126,0,0,0,2,0,19,13,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU20:5grass",468,3370,403,272,2082,66,42,936,58,582,104,190,357,1217,974,405,778,1194,821,833,247,249,790,481,311,458,842,197,356,59,51,200,159,56,207,463,470,193,495,370,471,301,250,334,84,309,147,528,97,203,119,180,269,116,101,245,346,145,44,351,146,494,368,674,435,292,249,605,836,538,229
"OTU47:6grass",0,0,0,0,0,0,0,0,6,93,0,0,0,0,564,0,0,0,0,0,24,17,0,0,13,0,201,0,0,0,0,0,0,1,0,0,87,0,3,17,0,0,0,0,24,30,0,625,0,0,483,0,0,1,0,41,0,0,1,0,54,1,0,97,0,0,68,229,234,285,0
"OTU26:5grass",0,0,0,2,3,1,0,0,131,1,316,69,1,134,1,3,1,332,261,1,1,0,0,1,0,0,0,6,2,0,1,0,1,0,1,0,235,35,1,7,0,353,307,968,898,3617,2507,1113,1468,490,440,20210,5366,1068,204,250,292,1,498,97,0,27,135,423,2,0,163,114,140,765,38
"OTU259:24grass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU371:5grass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU126:5grass",0,0,1,0,0,1,0,0,0,0,0,0,0,0,50,44,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,1,33,0,0,68,0,0,0,0,0,0,0,0,1,0,0,0,0,8,103,0,20,24,31,0,0,0,0,464,71,317,85,97,40,27,264,348,0,23,167
"OTU842:5grass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"OTU10:5grass",5,1,1946,163,0,4,1,2,0,6,7,4,3,0,1,1,0,2,0,1,0,5,2,3,2,0,1,0,0,5,1,0,1,3,4,2,4,0,0,1,0,11963,9052,6671,10,389,250,4,10,0,1389,0,73,57,8,1161,12,3,5,103,0,1,0,0,3,1,5,168,6,1,1
"OTU92:5grass",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
"OTU264:19grass",0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
"OTU134:5grass",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414,0,0,0,0,0,0,0
"OTU160:5grass",0,0,0,0,0,0,0,0,18,814,235,0,0,182,0,0,0,1,0,0,0,0,0,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU166:5grass",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU279:5grass",0,0,5,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,4,1,3,2,0,6,0,0,8,0,6,13,25,23,18,17,47,9,119,12,38,34,12,0,31,2,14,23,68,27,28,7,2,11,44,44,17,0,14,0,7,40
"OTU75:6grass",1,0,441,1,0,234,174,5,281,369,1,0,1,388,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,194,0,420,0,0,0,0,0,0,0,0,0,0,0,0,0,2040,3349,0,1,0,0,2,1,0,0,898,0,1,0,0,0,0,0,0,1,0,0,0
"OTU276:5grass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
