site,X,Y
French_flat,448002.5797778387,4660874.729979207
Upper_Table,509959.4483952709,4701771.456177375
Hazel_Dell,482462.9482911808,4873918.789408264
Horse_Rock,509667.4100037938,4905002.198263188
Upper_Weir,522179.1044025632,5195005.240227262
Whidbey,528326.5907551614,5339512.618311459
Roxy_Ann,517390.8037486151,4688461.393764849
Whetstone,507499.1981065504,4696216.552639611
Lower_Table,504205.130107615,4701765.701254467
