"","Observed","Simpson"
"X5grass",159,0.839612549382716
"X6grass",185,0.90005500617284
"X7grass",159,0.873838950617284
"X8grass",214,0.902546672839506
"X9grass",138,0.799944722222222
"X12grass",139,0.890292172839506
"X13grass",145,0.91211362345679
"X17grass",95,0.698163598765432
"X18grass",158,0.87826712962963
"X19grass",194,0.948242351851852
"X20grass",169,0.592489666666667
"X21grass",128,0.545131154320988
"X22grass",166,0.87050162962963
"X23grass",227,0.875586858024691
"X24grass",156,0.897067981481481
"X25grass",230,0.941721160493827
"X26grass",325,0.893768851851852
"X27grass",186,0.873466395061728
"X28grass",244,0.917497234567901
"X29grass",177,0.904111981481481
"X30grass",178,0.91526787037037
"X31grass",127,0.920154858024691
"X32grass",180,0.949643333333333
"X33grass",187,0.818625296296296
"X34grass",140,0.927734530864198
"X35grass",198,0.930910574074074
"X36grass",217,0.913630586419753
"X37grass",173,0.925899783950617
"X38grass",217,0.948871580246914
"X39grass",198,0.93987574691358
"X40grass",202,0.915536722222222
"X41grass",176,0.831210333333333
"X42grass",164,0.927377345679012
"X43grass",150,0.898872901234568
"X44grass",176,0.923562320987654
"X45grass",140,0.913194049382716
"X46grass",117,0.808354358024691
"X47grass",177,0.811423043209877
"X48grass",270,0.946366179012346
"X49grass",179,0.855508518518519
"X50grass",202,0.842709555555555
"X51grass",95,0.894206104938272
"X52grass",125,0.953139981481481
"X53grass",170,0.596432617283951
"X54grass",188,0.541073413580247
"X55grass",156,0.518647969135802
"X56grass",185,0.660541981481481
"X57grass",150,0.509989283950617
"X58grass",109,0.194313351851852
"X59grass",145,0.190717518518518
"X60grass",329,0.889502611111111
"X61grass",186,0.501878166666667
"X62grass",214,0.563887043209877
"X63grass",205,0.874564419753086
"X64grass",140,0.295315308641975
"X65grass",234,0.925148277777778
"X66grass",214,0.901014666666667
"X67grass",181,0.743014814814815
"X68grass",203,0.939114339506173
"X69grass",209,0.865194197530864
"X70grass",157,0.844021956790123
"X71grass",195,0.845408425925926
"X72grass",187,0.620297179012346
"X73grass",178,0.817660345679012
"X74grass",160,0.717219617283951
"X75grass",207,0.869738333333333
"X76grass",170,0.810341197530864
"X77grass",126,0.866996975308642
"X78grass",146,0.944371938271605
"X79grass",180,0.92964437654321
"X80grass",190,0.812219327160494
"X81grass",160,0.897568271604938
"X82grass",146,0.830305228395062
"X83grass",195,0.832890401234568
"X84grass",143,0.841138172839506
"X85grass",197,0.891480796296296
"X86grass",119,0.900378197530864
"X87grass",140,0.880396543209877
"X88grass",169,0.768640635802469
