"","Observed","Simpson"
"X89grass",139,0.677854938271605
"X90grass",72,0.908380740740741
"X91grass",157,0.853164450617284
"X92grass",197,0.918383364197531
"X93grass",123,0.904909351851852
"X94grass",106,0.524439783950617
"X95grass",149,0.535765932098766
"X96grass",114,0.358466012345679
"X97grass",168,0.816796969135802
"X98grass",162,0.906836018518518
"X99grass",133,0.748117314814815
"X100grass",113,0.793629012345679
"X101grass",170,0.814326734567901
"X102grass",164,0.885012160493827
"X103grass",135,0.887637407407407
"X104grass",164,0.891205018518519
"X105grass",145,0.880148024691358
"X106grass",147,0.907117919753086
"X107grass",180,0.903677586419753
"X108grass",120,0.817832543209877
"X109grass",171,0.865198222222222
"X110grass",133,0.610249561728395
"X111grass",119,0.70469499382716
"X112grass",119,0.530428777777778
"X113grass",134,0.782162783950617
"X114grass",104,0.734085679012346
"X115grass",104,0.70469024691358
"X116grass",120,0.850742432098765
"X117grass",135,0.906473074074074
"X118grass",163,0.846878907407407
"X119grass",191,0.849153487654321
"X120grass",134,0.723996808641975
"X121grass",147,0.877441240740741
"X122grass",141,0.753461567901235
"X123grass",151,0.78997074691358
"X124grass",138,0.786084283950617
"X125grass",155,0.926056561728395
"X126grass",163,0.912884086419753
"X127grass",97,0.930927203703704
"X128grass",106,0.901789098765432
"X129grass",123,0.941046919753086
"X130grass",151,0.794641283950617
"X131grass",187,0.801920845679012
"X132grass",158,0.870393388888889
"X133grass",190,0.666488444444444
"X134grass",215,0.94561487654321
"X135grass",197,0.910156580246914
"X136grass",144,0.927976185185185
"X137grass",198,0.670618302469136
"X138grass",145,0.717839969135803
"X139grass",192,0.811044080246914
"X140grass",136,0.846236469135802
"X141grass",184,0.93471537654321
"X142grass",168,0.90287799382716
"X143grass",199,0.865335888888889
"X144grass",214,0.94917924691358
"X145grass",217,0.912680648148148
"X146grass",141,0.821229364197531
"X147grass",141,0.491183148148148
"X148grass",211,0.904975388888889
"X149grass",150,0.894987092592593
"X150grass",217,0.908624790123457
"X151grass",162,0.641022567901235
"X152grass",177,0.946138956790123
"X153grass",160,0.929515067901235
"X154grass",182,0.929466530864198
"X155grass",198,0.906518432098765
"X156grass",180,0.819361641975309
"X157grass",172,0.850108382716049
"X158grass",118,0.88543987037037
"X159grass",158,0.73181187037037
