"","D. californica","F. roemeri"
"OTU2:5grass",10.136402713328,72.5061189679622
"OTU1:5grass",122.294238568176,142.185925784415
"OTU16:5grass",15.4565801251426,45.5990689409166
"OTU4:5grass",32.2041686368046,64.6200426390779
"OTU1265:13grass",2.79230732121681,86.7174308586369
"OTU9:5grass",62.3914744269435,126.443466139211
"OTU13:5grass",4.80097401196363,51.4620805336167
"OTU43:5grass",11.0854589130428,52.1538762572405
"OTU27:5grass",3.53741873891369,64.6760480522995
"OTU19:5grass",33.9228794449534,30.2941833246883
"OTU21:5grass",51.0728923468643,51.751137089325
"OTU3:5grass",156.896393077482,129.30930877311
"OTU149:25grass",12.2806098033022,7.64366679828052
"OTU5:5grass",131.839190945218,111.980822150328
"OTU77:5grass",16.03328259834,20.7013642306896
"OTU59:5grass",72.7016314461845,32.1163616955621
"OTU3145:81grass",17.0090146678316,44.3039353792654
"OTU1306:80grass",103.550179992954,78.2768985892378
"OTU8:5grass",49.1605470336311,111.717863773027
"OTU2755:110grass",35.9455571366917,28.9470537971141
"OTU6:5grass",72.7407246012959,71.3498998047282
"OTU610:105grass",30.8661219196128,29.2771023625224
"OTU240:5grass",1.65120539719476,37.1273756543735
"OTU1603:24grass",10.0833211126584,22.418355742398
"OTU303:5grass",5.64625299954154,22.2389645576518
"OTU18:5grass",0.177549342523088,101.669647858634
"OTU7:5grass",20.6281431715818,38.8408609243597
"OTU25:5grass",58.5497013419904,43.2707735450631
"OTU12:5grass",112.825365926844,100.499703256512
"OTU107:5grass",60.9396346864816,56.7997574235119
"OTU37:5grass",30.8243610818417,35.893680472766
"OTU175:6grass",27.3252572154724,67.8560580047934
"OTU60:5grass",61.1691647778879,56.0976496740437
"OTU20:5grass",100.823964407569,89.5306460007764
"OTU47:6grass",7.93251467602489,40.1730137158616
"OTU26:5grass",23.0330137986197,30.7753399828658
"OTU10:5grass",21.8688614501376,38.390491839781
"OTU92:5grass",0.177549342523088,7.63078625055604
"OTU160:5grass",20.4109749826853,18.0470241616751
"OTU279:5grass",1.66218156617293,6.07797565075344
"OTU75:6grass",43.5793580072341,18.1579572526818
"OTU67:5grass",31.7971407814766,43.1076575086221
"OTU156:13grass",9.10538365207064,16.7234649314915
"OTU222:130grass",6.90890921501953,10.6490477697811
"OTU44:5grass",83.8886526460084,38.8737020774048
"OTU61:5grass",2.66879447536829,44.9633181215022
"OTU475:8grass",12.9698766854128,8.07330296572221
"OTU22:6grass",33.559062773293,12.8751767118883
"OTU2413:112grass",10.1526027357586,2.35399381934472
"OTU1050:28grass",45.268488609668,21.0451623720668
"OTU31:7grass",7.74123627108013,15.9861418233202
"OTU312:5grass",8.0478855873761,7.76651677801461
"OTU53:8grass",1.65120539719476,12.1070435648748
"OTU3872:13grass",0.177549342523088,10.2401278351965
"OTU351:5grass",9.12288357605003,15.2979858325252
"OTU297:15grass",14.9484335781618,8.93165905107603
"OTU11:5grass",0.177549342523088,15.8353360795302
"OTU17:5grass",112.085155815095,83.5098880723462
"OTU3447:99grass",24.4964331537332,38.3305950110458
"OTU1975:94grass",48.9297608874301,26.2242348156792
"OTU370:45grass",1.82875473971784,13.4728608375516
"OTU1038:91grass",56.1472202902912,30.6986237603011
"OTU1462:16grass",55.5810686088385,24.1557370924951
"OTU1127:93grass",48.7833504835021,33.4242410727663
"OTU41:5grass",80.5625296354855,40.2703699041435
"OTU173:5grass",14.1581807263811,13.9220130309068
"OTU181:5grass",6.41480989866013,6.14368610405574
"OTU227:6grass",0.37884456426892,52.2653225185008
"OTU192:26grass",1.37247618933244,7.34630858876276
"OTU114:5grass",1.5696900781914,14.0273605660511
"OTU1437:97grass",34.3091999997161,7.27593032181632
"OTU2192:24grass",6.01071730985835,27.0783435834188
