"","Observed","Simpson"
"X5grass",189,0.8398757475
"X6grass",217,0.90108968125
"X7grass",182,0.87057054
"X8grass",249,0.90168208875
"X17grass",132,0.69764299625
"X18grass",189,0.87823421625
"X19grass",220,0.948634855
"X20grass",199,0.5903002275
"X21grass",164,0.54854516875
"X24grass",195,0.895525885
"X25grass",262,0.94060498
"X26grass",409,0.892243385
"X27grass",254,0.87444197
"X28grass",275,0.91615150625
"X29grass",215,0.9060167275
"X30grass",206,0.9154493725
"X31grass",161,0.91663023875
"X32grass",200,0.9502902775
"X33grass",224,0.81796580375
"X34grass",163,0.9286768875
"X36grass",253,0.91040355
"X37grass",206,0.9241639
"X38grass",260,0.9499004775
"X39grass",225,0.94064526375
"X40grass",244,0.919062585
"X41grass",208,0.82823390875
"X42grass",206,0.926519515
"X43grass",177,0.90218558625
"X44grass",229,0.9199160825
"X45grass",196,0.91622958
"X48grass",307,0.9456178025
"X53grass",212,0.59617663625
"X54grass",212,0.5340602825
"X55grass",194,0.51663436875
"X56grass",222,0.66241154
"X57grass",193,0.50941856625
"X58grass",142,0.1933091275
"X59grass",190,0.20225826875
"X60grass",374,0.8914595625
"X61grass",214,0.49517493875
"X62grass",262,0.56014795625
"X63grass",262,0.87783208
"X64grass",172,0.3096920675
"X65grass",281,0.9277128675
"X66grass",234,0.8991337975
"X67grass",213,0.74072595
"X68grass",243,0.9399907
"X69grass",243,0.86381016875
"X70grass",193,0.84431867125
"X72grass",212,0.6260610675
"X74grass",185,0.71147054375
"X75grass",230,0.87185123125
"X76grass",202,0.8081308375
"X77grass",151,0.8673313275
"X78grass",169,0.94158105
"X79grass",226,0.93231647
"X80grass",224,0.810501875
"X81grass",182,0.899314095
"X82grass",171,0.8296458725
"X83grass",229,0.8328670725
"X84grass",158,0.8407081025
"X85grass",223,0.89248987375
"X86grass",148,0.90110419875
"X87grass",162,0.88377851375
"X88grass",205,0.76877107375
