"","Observed","Simpson"
"X89grass",99,0.680515306122449
"X90grass",50,0.906955387755102
"X91grass",125,0.852680571428571
"X92grass",154,0.918807387755102
"X93grass",102,0.907987428571429
"X94grass",84,0.526143469387755
"X95grass",101,0.547858326530612
"X96grass",81,0.359971510204082
"X97grass",136,0.811071387755102
"X98grass",133,0.902928204081633
"X99grass",109,0.745306775510204
"X100grass",99,0.797674897959184
"X101grass",133,0.809239918367347
"X102grass",127,0.882418326530612
"X103grass",112,0.889340530612245
"X104grass",124,0.893106040816326
"X105grass",123,0.877633918367347
"X106grass",119,0.90494306122449
"X107grass",143,0.905560244897959
"X108grass",90,0.814432734693878
"X109grass",139,0.861646775510204
"X110grass",108,0.620823265306122
"X111grass",91,0.708039714285714
"X112grass",92,0.553656571428571
"X113grass",118,0.788638653061224
"X114grass",77,0.737321183673469
"X115grass",96,0.685815183673469
"X116grass",98,0.860172244897959
"X117grass",106,0.909895102040816
"X118grass",130,0.846721102040816
"X119grass",142,0.846191469387755
"X120grass",108,0.725709020408163
"X121grass",119,0.87974906122449
"X122grass",112,0.753342734693877
"X123grass",121,0.790119755102041
"X124grass",122,0.787024816326531
"X125grass",137,0.923534326530612
"X126grass",147,0.913675551020408
"X127grass",82,0.929230326530612
"X128grass",93,0.899723673469388
"X129grass",112,0.940292285714286
"X130grass",124,0.800124571428571
"X131grass",143,0.803835387755102
"X132grass",134,0.875451387755102
"X133grass",162,0.673252081632653
"X134grass",187,0.946662775510204
"X135grass",159,0.912987346938775
"X136grass",125,0.92744106122449
"X137grass",161,0.675711795918367
"X138grass",128,0.716874979591837
"X139grass",156,0.808879428571429
"X140grass",122,0.840644244897959
"X141grass",153,0.934314204081633
"X142grass",147,0.901860408163265
"X143grass",170,0.867546163265306
"X144grass",185,0.950578326530612
"X145grass",183,0.913342693877551
"X146grass",117,0.822527428571429
"X147grass",94,0.491127836734694
"X148grass",172,0.906319632653061
"X149grass",123,0.896908
"X150grass",170,0.908071510204082
"X151grass",133,0.651570653061225
"X152grass",144,0.944179020408163
"X153grass",133,0.929986612244898
"X154grass",153,0.932483224489796
"X155grass",159,0.903303673469388
"X156grass",142,0.828758244897959
"X157grass",146,0.848772897959184
"X158grass",94,0.878048326530612
"X159grass",129,0.723626408163265
