sample_name	sample_title	organism	host	isolation_source	collection_date	geo_loc_name	lat_lon	env_broad_scale	env_local_scale	env_medium	UID
S30	Fr86	leaf metagenome	Festuca roemeri	Hazel_Dell	2015-06-10	USA: Oregon, Eugene, Hazel Dell	44.03 N 123.22 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	Hazel_DellS30
S31	Fr87	leaf metagenome	Festuca roemeri	Hazel_Dell	2015-06-10	USA: Oregon, Eugene, Hazel Dell	44.03 N 123.22 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	Hazel_DellS31
S32	Fr88	leaf metagenome	Festuca roemeri	Hazel_Dell	2015-06-10	USA: Oregon, Eugene, Hazel Dell	44.03 N 123.22 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	Hazel_DellS32
S33	Fr89	leaf metagenome	Festuca roemeri	Hazel_Dell	2015-06-10	USA: Oregon, Eugene, Hazel Dell	44.03 N 123.22 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	Hazel_DellS33
S34	Fr90	leaf metagenome	Festuca roemeri	Hazel_Dell	2015-06-10	USA: Oregon, Eugene, Hazel Dell	44.03 N 123.22 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	Hazel_DellS34
S35	Fr91	leaf metagenome	Festuca roemeri	Hazel_Dell	2015-06-10	USA: Oregon, Eugene, Hazel Dell	44.03 N 123.22 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	Hazel_DellS35
S36	Fr92	leaf metagenome	Festuca roemeri	Hazel_Dell	2015-06-10	USA: Oregon, Eugene, Hazel Dell	44.03 N 123.22 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	Hazel_DellS36
S37	Fr93	leaf metagenome	Festuca roemeri	Hazel_Dell	2015-06-10	USA: Oregon, Eugene, Hazel Dell	44.03 N 123.22 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	Hazel_DellS37
S38	Fr94	leaf metagenome	Festuca roemeri	Hazel_Dell	2015-06-10	USA: Oregon, Eugene, Hazel Dell	44.03 N 123.22 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	Hazel_DellS38
S39	Fr95	leaf metagenome	Festuca roemeri	Hazel_Dell	2015-06-10	USA: Oregon, Eugene, Hazel Dell	44.03 N 123.22 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	Hazel_DellS39
S40	Fr96	leaf metagenome	Festuca roemeri	Hazel_Dell	2015-06-10	USA: Oregon, Eugene, Hazel Dell	44.03 N 123.22 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	Hazel_DellS40
S41	Fr109	leaf metagenome	Festuca roemeri	Horse_Rock	2015-06-24	USA: Oregon, Crawfordsville, Horse Rock Ridge	44.3 N 122.88 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	Horse_RockS41
S42	Fr110	leaf metagenome	Festuca roemeri	Horse_Rock	2015-06-24	USA: Oregon, Crawfordsville, Horse Rock Ridge	44.3 N 122.88 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	Horse_RockS42
S43	Fr111	leaf metagenome	Festuca roemeri	Horse_Rock	2015-06-24	USA: Oregon, Crawfordsville, Horse Rock Ridge	44.3 N 122.88 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	Horse_RockS43
S44	Fr112	leaf metagenome	Festuca roemeri	Horse_Rock	2015-06-24	USA: Oregon, Crawfordsville, Horse Rock Ridge	44.3 N 122.88 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	Horse_RockS44
S45	Fr113	leaf metagenome	Festuca roemeri	Horse_Rock	2015-06-24	USA: Oregon, Crawfordsville, Horse Rock Ridge	44.3 N 122.88 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	Horse_RockS45
S46	Fr114	leaf metagenome	Festuca roemeri	Horse_Rock	2015-06-24	USA: Oregon, Crawfordsville, Horse Rock Ridge	44.3 N 122.88 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	Horse_RockS46
S47	Fr115	leaf metagenome	Festuca roemeri	Horse_Rock	2015-06-24	USA: Oregon, Crawfordsville, Horse Rock Ridge	44.3 N 122.88 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	Horse_RockS47
S48	Fr116	leaf metagenome	Festuca roemeri	Horse_Rock	2015-06-24	USA: Oregon, Crawfordsville, Horse Rock Ridge	44.3 N 122.88 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	Horse_RockS48
S49	Fr117	leaf metagenome	Festuca roemeri	Horse_Rock	2015-06-24	USA: Oregon, Crawfordsville, Horse Rock Ridge	44.3 N 122.88 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	Horse_RockS49
S50	Fr118	leaf metagenome	Festuca roemeri	Horse_Rock	2015-06-24	USA: Oregon, Crawfordsville, Horse Rock Ridge	44.3 N 122.88 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	Horse_RockS50
S51	Fr119	leaf metagenome	Festuca roemeri	Horse_Rock	2015-06-24	USA: Oregon, Crawfordsville, Horse Rock Ridge	44.3 N 122.88 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	Horse_RockS51
S52	Fr120	leaf metagenome	Festuca roemeri	Horse_Rock	2015-06-24	USA: Oregon, Crawfordsville, Horse Rock Ridge	44.3 N 122.88 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	Horse_RockS52
S53	Fr133	leaf metagenome	Festuca roemeri	Upper_Weir	2015-06-13	USA: Washington, Rainier, Upper Weir	46.91 N 122.71 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	Upper_WeirS53
S54	Fr134	leaf metagenome	Festuca roemeri	Upper_Weir	2015-06-13	USA: Washington, Rainier, Upper Weir	46.91 N 122.71 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	Upper_WeirS54
S55	Fr135	leaf metagenome	Festuca roemeri	Upper_Weir	2015-06-13	USA: Washington, Rainier, Upper Weir	46.91 N 122.71 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	Upper_WeirS55
S56	Fr136	leaf metagenome	Festuca roemeri	Upper_Weir	2015-06-13	USA: Washington, Rainier, Upper Weir	46.91 N 122.71 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	Upper_WeirS56
S57	Fr137	leaf metagenome	Festuca roemeri	Upper_Weir	2015-06-13	USA: Washington, Rainier, Upper Weir	46.91 N 122.71 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	Upper_WeirS57
S58	Fr138	leaf metagenome	Festuca roemeri	Upper_Weir	2015-06-13	USA: Washington, Rainier, Upper Weir	46.91 N 122.71 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	Upper_WeirS58
S59	Fr139	leaf metagenome	Festuca roemeri	Upper_Weir	2015-06-13	USA: Washington, Rainier, Upper Weir	46.91 N 122.71 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	Upper_WeirS59
S60	Fr140	leaf metagenome	Festuca roemeri	Upper_Weir	2015-06-13	USA: Washington, Rainier, Upper Weir	46.91 N 122.71 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	Upper_WeirS60
S61	Fr141	leaf metagenome	Festuca roemeri	Upper_Weir	2015-06-13	USA: Washington, Rainier, Upper Weir	46.91 N 122.71 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	Upper_WeirS61
S62	Fr142	leaf metagenome	Festuca roemeri	Upper_Weir	2015-06-13	USA: Washington, Rainier, Upper Weir	46.91 N 122.71 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	Upper_WeirS62
S63	Fr143	leaf metagenome	Festuca roemeri	Upper_Weir	2015-06-13	USA: Washington, Rainier, Upper Weir	46.91 N 122.71 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	Upper_WeirS63
S64	Fr144	leaf metagenome	Festuca roemeri	Upper_Weir	2015-06-13	USA: Washington, Rainier, Upper Weir	46.91 N 122.71 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	Upper_WeirS64
S65	Fr157	leaf metagenome	Festuca roemeri	Whidbey	2015-06-20	USA: Washington, Coupeville, Whidbey Island	48.21 N 122.62 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	WhidbeyS65
S66	Fr158	leaf metagenome	Festuca roemeri	Whidbey	2015-06-20	USA: Washington, Coupeville, Whidbey Island	48.21 N 122.62 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	WhidbeyS66
S67	Fr159	leaf metagenome	Festuca roemeri	Whidbey	2015-06-20	USA: Washington, Coupeville, Whidbey Island	48.21 N 122.62 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	WhidbeyS67
S68	Fr160	leaf metagenome	Festuca roemeri	Whidbey	2015-06-20	USA: Washington, Coupeville, Whidbey Island	48.21 N 122.62 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	WhidbeyS68
S69	Fr161	leaf metagenome	Festuca roemeri	Whidbey	2015-06-20	USA: Washington, Coupeville, Whidbey Island	48.21 N 122.62 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	WhidbeyS69
S70	Fr162	leaf metagenome	Festuca roemeri	Whidbey	2015-06-20	USA: Washington, Coupeville, Whidbey Island	48.21 N 122.62 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	WhidbeyS70
S71	Fr163	leaf metagenome	Festuca roemeri	Whidbey	2015-06-20	USA: Washington, Coupeville, Whidbey Island	48.21 N 122.62 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	WhidbeyS71
S72	Fr164	leaf metagenome	Festuca roemeri	Whidbey	2015-06-20	USA: Washington, Coupeville, Whidbey Island	48.21 N 122.62 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	WhidbeyS72
S73	Fr165	leaf metagenome	Festuca roemeri	Whidbey	2015-06-20	USA: Washington, Coupeville, Whidbey Island	48.21 N 122.62 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	WhidbeyS73
S74	Fr166	leaf metagenome	Festuca roemeri	Whidbey	2015-06-20	USA: Washington, Coupeville, Whidbey Island	48.21 N 122.62 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	WhidbeyS74
S75	Fr167	leaf metagenome	Festuca roemeri	Whidbey	2015-06-20	USA: Washington, Coupeville, Whidbey Island	48.21 N 122.62 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	WhidbeyS75
S76	Fr168	leaf metagenome	Festuca roemeri	Whidbey	2015-06-20	USA: Washington, Coupeville, Whidbey Island	48.21 N 122.62 W	temperate grassland biome [ENVO_01000193]	environment associated with a plant part or small plant [ENVO 01001057]	plant matter [ENVO:01001121]	WhidbeyS76
S255	Neg	synthetic metagenome	not applicable	Control	missing: control sample	USA: University of Oregon	44.05 N 123.07 W	laboratory environment [ENVO 01001405]	liquid water [ENVO_00002006]	sterile water [ENVO_00005791]	ControlS255
S256	PosG	synthetic metagenome	not applicable	Control	missing: control sample	USA: University of Oregon	44.05 N 123.07 W	laboratory environment [ENVO 01001405]	culturing environment [ENVO 01000312]	mock community culture [ENVO 01001059]	ControlS256
S257	PosI	synthetic metagenome	not applicable	Control	missing: control sample	USA: University of Oregon	44.05 N 123.07 W	laboratory environment [ENVO 01001405]	culturing environment [ENVO 01000312]	mock community culture [ENVO 01001059]	ControlS257
